[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	21,00	19,02 (3,00)	7,35	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	21,00	19,02 (3,00)	7,35	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	21,00	19,02 (3,00)	7,35	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	21,00	19,02 (3,00)	7,35	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	20,00	18,02 (2,00)	7,84	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	20,00	18,02 (2,00)	7,84	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	20,00	18,02 (2,00)	7,84	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	19,00	17,02 (1,00)	8,40	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	19,00	17,02 (1,00)	8,40	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (5,00)	6,53	0,04	0,00], [(0,00) -1,98	18,00	16,02 (0,00)	9,01	0,05	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	21,00	20,02 (4,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	21,00	20,02 (4,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	21,00	20,02 (4,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	21,00	20,02 (4,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	21,00	20,02 (4,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	20,00	19,02 (3,00)	7,83	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	20,00	19,02 (3,00)	7,83	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	20,00	19,02 (3,00)	7,83	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	20,00	19,02 (3,00)	7,83	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	19,00	18,02 (2,00)	8,38	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	19,00	18,02 (2,00)	8,38	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	19,00	18,02 (2,00)	8,38	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	18,00	17,02 (1,00)	9,00	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	18,00	17,02 (1,00)	9,00	0,06	0,00]]
[[(0,00) -1,98	23,00	21,02 (4,00)	6,53	0,04	0,00], [(0,00) -0,98	17,00	16,02 (0,00)	9,63	0,04	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	21,00	21,02 (5,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	21,00	21,02 (5,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	21,00	21,02 (5,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	21,00	21,02 (5,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	21,00	21,02 (5,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	21,00	21,02 (5,00)	7,33	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	20,00	20,02 (4,00)	7,82	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	20,00	20,02 (4,00)	7,82	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	20,00	20,02 (4,00)	7,82	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	20,00	20,02 (4,00)	7,82	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	20,00	20,02 (4,00)	7,82	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	19,00	19,02 (3,00)	8,37	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	19,00	19,02 (3,00)	8,37	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	19,00	19,02 (3,00)	8,37	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	19,00	19,02 (3,00)	8,37	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	18,00	18,02 (2,00)	8,98	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	18,00	18,02 (2,00)	8,98	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (3,00)	6,53	0,04	0,00], [(0,00) 0,02	18,00	18,02 (2,00)	8,98	0,07	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	20,00	21,02 (5,00)	7,81	0,08	0,00]]
[[(0,00) -1,98	23,00	21,02 (2,00)	6,53	0,04	0,00], [(0,00) 1,02	20,00	21,02 (5,00)	7,81	0,08	0,00]]
