[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	24,00	19,02 (3,00)	4,64	4,66	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	24,00	19,02 (3,00)	4,64	4,66	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	24,00	19,02 (3,00)	4,64	4,66	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	24,00	19,02 (3,00)	4,64	4,66	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	23,00	18,02 (2,00)	4,66	3,89	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	23,00	18,02 (2,00)	4,66	3,89	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	23,00	18,02 (2,00)	4,66	3,89	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	22,00	17,02 (1,00)	4,68	3,15	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	22,00	17,02 (1,00)	4,68	3,15	0,00]]
[[(0,00) -1,98	14,00	12,02 (5,00)	5,16	3,81	0,00], [(0,00) -10,98	24,00	13,02 (0,00)	4,80	0,38	0,00], [(0,00) -4,98	21,00	16,02 (0,00)	4,71	2,36	0,00]]
